TIME,TEMP,HUM,BATT,LIGHT,NOISE_A,PRESS,CCS811_VOCS,CCS811_ECO2,PM_1,PM_25,PM_10,PN_03,PN_05,PN_1,PN_25,PN_5,PN_10
ISO 8601,C,%,%,Lux,dBA,kPa,ppb,ppm,ug/m3,ug/m3,ug/m3,#/0.1l,#/0.1l,#/0.1l,#/0.1l,#/0.1l,#/0.1l
Time,Temperature,Humidity,Battery,Light,Noise dBA,Barometric pressure,VOC Gas CCS811,eCO2 Gas CCS811,PM 1.0,PM 2.5,PM 10.0,PN 0.3,PN 0.5,PN 1.0,PN 2.5,PN 5.0,PN 10.0
,55,56,10,14,53,58,113,112,89,87,88,0,0,0,0,0,0
2025-05-13T09:13:31Z,22.32,64.81,-1,10,71.67,100.97,null,null,12,15,15,1707,499,96,0,0,0
2025-05-13T09:14:31Z,22.85,69.84,99,4,69.75,100.98,null,null,14,17,17,2055,617,84,0,0,0
2025-05-13T09:15:31Z,23.10,72.82,98,5,56.26,100.98,null,null,12,15,15,1887,551,58,2,0,0
2025-05-13T09:16:31Z,23.16,69.41,98,56,66.79,100.97,null,null,11,14,14,1782,528,74,0,0,0
2025-05-13T09:18:33Z,23.27,71.65,98,29,66.06,100.97,0.00,400.00,10,12,16,1326,422,74,4,4,4
2025-05-13T09:19:33Z,23.32,67.75,98,105,74.36,100.97,0.00,400.00,14,17,18,1980,596,71,2,2,2
2025-05-13T09:20:33Z,23.36,66.17,98,66,68.35,100.97,5.00,438.00,14,19,19,2100,652,78,0,0,0
2025-05-13T09:21:33Z,23.20,61.76,98,4,57.66,100.97,8.00,457.00,11,13,13,1776,525,40,0,0,0
2025-05-13T09:22:33Z,22.54,61.85,98,1418,73.00,100.94,17.00,514.00,14,18,19,2064,625,89,2,2,0
2025-05-13T09:23:33Z,21.97,64.51,98,477,50.20,100.95,15.00,505.00,13,15,15,1857,558,77,0,0,0
2025-05-13T09:24:33Z,21.70,66.23,98,382,50.41,100.96,18.00,519.00,12,15,17,1965,560,63,2,2,0
2025-05-13T09:25:33Z,21.53,65.59,98,417,46.97,100.96,20.00,536.00,11,15,15,1800,533,82,0,0,0
2025-05-13T09:26:33Z,20.93,65.70,98,390,48.20,100.95,20.00,536.00,11,16,16,1569,481,89,4,0,0
2025-05-13T09:27:33Z,20.57,66.38,98,455,57.88,100.96,19.00,527.00,9,12,12,1443,413,54,5,0,0
2025-05-13T09:28:33Z,20.33,66.19,98,407,49.28,100.95,23.00,556.00,14,17,17,1836,583,84,0,0,0
2025-05-13T09:29:33Z,20.15,66.77,98,354,48.06,100.96,21.00,542.00,11,15,15,1797,515,62,2,0,0
2025-05-13T09:30:33Z,20.25,67.83,98,361,52.95,100.96,21.00,543.00,11,17,21,1926,567,100,6,4,4
2025-05-13T09:31:33Z,20.19,68.39,98,390,61.54,100.95,17.00,517.00,8,11,12,1524,451,49,4,2,0
2025-05-13T09:32:33Z,20.12,67.82,98,427,69.13,100.96,15.00,505.00,12,18,20,1827,563,105,11,0,0
2025-05-13T09:33:33Z,20.18,69.37,98,319,55.49,100.96,15.00,503.00,8,14,15,1407,411,92,2,2,2
2025-05-13T09:34:33Z,20.02,67.96,98,328,55.41,100.96,12.00,481.00,11,14,14,1761,527,49,0,0,0
2025-05-13T09:35:33Z,19.93,68.74,98,344,52.16,100.96,13.00,486.00,10,14,14,1605,473,78,0,0,0
2025-05-13T09:36:33Z,20.04,67.48,98,308,42.56,100.96,12.00,485.00,10,14,15,1551,467,68,9,2,0
2025-05-13T09:37:33Z,20.15,69.74,98,354,59.20,100.95,14.00,495.00,12,18,19,1752,506,92,2,2,2
2025-05-13T09:38:33Z,20.23,67.04,98,326,57.16,100.95,11.00,475.00,11,14,14,1701,490,68,0,0,0
2025-05-13T09:39:33Z,20.36,67.57,98,363,51.65,100.94,13.00,488.00,10,15,16,1713,495,73,2,2,0
2025-05-13T09:40:33Z,20.43,68.96,98,275,45.54,100.94,11.00,473.00,12,14,14,1710,506,61,0,0,0
2025-05-13T09:41:33Z,20.47,67.90,98,328,47.34,100.95,9.00,462.00,9,13,13,1476,436,68,0,0,0
2025-05-13T09:42:33Z,20.50,67.44,98,287,56.65,100.95,9.00,461.00,9,11,11,1362,406,65,0,0,0
2025-05-13T09:43:33Z,20.62,67.54,98,286,59.40,100.95,9.00,462.00,7,9,9,1113,335,63,2,0,0
2025-05-13T09:44:33Z,20.40,65.90,98,276,59.69,100.95,8.00,456.00,8,11,11,1371,396,51,0,0,0
2025-05-13T09:45:33Z,20.30,66.60,98,270,45.56,100.95,8.00,457.00,9,13,13,1503,445,56,0,0,0
2025-05-13T09:46:33Z,20.14,68.72,98,484,47.68,100.95,5.00,434.00,9,13,15,1449,431,77,2,2,2
2025-05-13T09:47:33Z,20.23,66.69,98,684,52.74,100.95,4.00,428.00,14,17,17,1803,551,103,0,0,0
2025-05-13T09:48:33Z,20.14,67.10,98,808,50.42,100.94,4.00,428.00,10,11,14,1335,396,68,2,2,0
2025-05-13T09:49:36Z,20.23,67.29,98,748,45.88,100.94,3.00,423.00,11,14,14,1665,496,60,0,0,0
2025-05-13T09:50:38Z,20.19,67.65,98,653,53.21,100.94,1.00,411.00,9,11,11,1476,430,54,2,0,0
2025-05-13T09:51:40Z,20.26,67.28,98,715,45.55,100.94,0.00,403.00,9,13,13,1401,424,59,0,0,0
2025-05-13T09:52:42Z,20.33,67.35,98,690,62.34,100.94,0.00,400.00,4,7,8,834,253,43,2,2,0
2025-05-13T09:53:44Z,20.04,65.89,98,739,54.44,100.94,0.00,400.00,9,11,14,1359,403,80,2,2,2
2025-05-13T09:54:46Z,20.33,65.20,98,738,44.37,100.94,2.00,415.00,8,9,9,1248,373,35,0,0,0
2025-05-13T09:55:48Z,20.42,72.76,98,157,50.61,100.96,0.00,403.00,12,14,15,1521,476,86,2,2,2
2025-05-13T09:56:50Z,20.22,65.85,98,688,49.82,100.94,0.00,400.00,9,13,13,1440,445,61,0,0,0
2025-05-13T09:57:52Z,19.79,66.90,98,677,47.65,100.94,6.00,444.00,5,10,10,876,284,83,4,0,0
2025-05-13T09:58:54Z,19.88,69.18,98,708,45.37,100.94,5.00,435.00,11,14,14,1566,485,74,0,0,0
2025-05-13T09:59:56Z,20.29,68.38,98,731,50.12,100.93,4.00,427.00,9,14,14,1596,462,69,0,0,0
2025-05-13T10:00:58Z,19.75,66.27,98,676,44.03,100.94,1.00,413.00,12,13,14,1539,456,63,2,2,0
2025-05-13T10:02:00Z,19.65,67.70,98,584,57.59,100.94,3.00,421.00,8,12,12,1368,399,56,0,0,0
2025-05-13T10:03:02Z,19.78,68.84,98,697,52.28,100.94,8.00,454.00,9,11,11,1401,401,50,2,0,0
2025-05-13T10:04:04Z,20.04,67.51,98,707,43.75,100.93,0.00,406.00,10,13,13,1389,436,54,2,0,0
2025-05-13T10:05:06Z,20.06,66.37,98,742,56.16,100.93,2.00,417.00,8,12,12,1374,404,57,0,0,0
2025-05-13T10:06:08Z,20.22,68.05,98,735,45.62,100.93,1.00,409.00,12,13,13,1716,498,35,0,0,0
2025-05-13T10:07:10Z,20.32,68.96,98,709,46.88,100.92,0.00,400.00,8,10,10,1257,374,38,2,0,0
2025-05-13T10:08:12Z,20.46,66.69,98,777,46.25,100.92,0.00,400.00,9,11,11,1470,439,67,0,0,0
2025-05-13T10:09:14Z,20.53,67.48,98,613,51.92,100.92,3.00,423.00,11,14,14,1707,513,54,2,0,0
2025-05-13T10:10:16Z,20.27,66.03,98,606,42.58,100.93,1.00,411.00,10,10,13,1461,428,19,2,2,2
2025-05-13T10:11:18Z,20.51,65.34,98,9508,50.49,100.85,0.00,405.00,10,14,22,1674,488,40,16,10,7
2025-05-13T10:12:20Z,20.83,64.72,98,4315,68.01,100.85,1.00,408.00,10,11,11,1332,428,45,0,0,0
2025-05-13T10:13:22Z,21.07,68.20,98,22,59.56,100.91,2.00,418.00,10,14,14,1536,453,65,4,0,0
2025-05-13T10:14:24Z,21.24,63.57,98,683,49.61,100.72,0.00,400.00,9,10,10,1353,407,46,0,0,0
2025-05-13T10:15:26Z,21.28,63.23,98,120,61.29,100.73,5.00,436.00,9,12,12,1419,419,80,0,0,0
2025-05-13T10:16:28Z,21.25,62.25,98,6649,49.06,100.65,6.00,444.00,9,11,11,1389,411,67,0,0,0
2025-05-13T10:17:30Z,22.17,60.67,98,4539,52.43,100.64,7.00,448.00,8,9,9,1158,348,43,0,0,0
2025-05-13T10:18:32Z,22.88,59.72,98,5955,50.24,100.62,5.00,438.00,5,6,10,942,258,56,4,4,2
2025-05-13T10:19:34Z,22.55,59.55,98,4667,48.70,100.64,0.00,400.00,7,11,12,1386,436,44,2,2,2
2025-05-13T10:20:36Z,24.06,57.42,98,7198,44.53,100.60,5.00,436.00,6,7,7,1089,336,30,0,0,0
2025-05-13T10:21:38Z,24.77,54.77,98,7706,45.48,100.58,0.00,400.00,10,10,10,1596,478,42,0,0,0
2025-05-13T10:22:40Z,24.29,55.78,98,5139,51.21,100.60,0.00,400.00,7,7,7,1125,340,26,0,0,0
2025-05-13T10:23:42Z,23.78,56.30,98,6117,44.58,100.61,0.00,400.00,5,5,6,1011,296,20,2,0,0
2025-05-13T10:24:44Z,24.14,55.78,98,4124,51.01,100.63,0.00,400.00,9,11,11,1542,441,52,0,0,0
2025-05-13T10:25:46Z,24.52,54.64,98,3007,49.39,100.62,1.00,407.00,6,8,8,1050,324,47,0,0,0
2025-05-13T10:26:48Z,24.26,53.88,98,3076,50.39,100.64,2.00,414.00,4,4,4,789,221,12,0,0,0
2025-05-13T10:27:50Z,23.41,56.51,98,6712,48.39,100.58,0.00,400.00,6,7,7,1107,311,43,0,0,0
2025-05-13T10:28:52Z,23.20,56.12,98,7616,58.22,100.58,0.00,406.00,4,4,4,699,215,22,0,0,0
2025-05-13T10:29:54Z,23.77,55.29,98,6708,48.43,100.58,5.00,435.00,6,7,7,1173,327,30,0,0,0
2025-05-13T10:30:56Z,24.42,54.05,98,8303,57.41,100.57,0.00,400.00,6,8,8,1155,350,35,0,0,0
