TIME,TEMP,HUM,BATT,LIGHT,NOISE_A,PRESS,CCS811_VOCS,CCS811_ECO2,PM_1,PM_25,PM_10,PN_03,PN_05,PN_1,PN_25,PN_5,PN_10
ISO 8601,C,%,%,Lux,dBA,kPa,ppb,ppm,ug/m3,ug/m3,ug/m3,#/0.1l,#/0.1l,#/0.1l,#/0.1l,#/0.1l,#/0.1l
Time,Temperature,Humidity,Battery,Light,Noise dBA,Barometric pressure,VOC Gas CCS811,eCO2 Gas CCS811,PM 1.0,PM 2.5,PM 10.0,PN 0.3,PN 0.5,PN 1.0,PN 2.5,PN 5.0,PN 10.0
,55,56,10,14,53,58,113,112,89,87,88,0,0,0,0,0,0
2025-05-13T09:14:15Z,21.66,65.05,-1,4,60.18,100.87,null,null,12,19,23,1998,615,98,16,6,1
2025-05-13T09:15:15Z,21.96,63.38,98,5,58.22,100.87,null,null,11,15,16,1908,547,91,3,0,0
2025-05-13T09:16:15Z,22.04,66.95,98,63,75.52,100.85,null,null,80,87,87,16854,4416,100,5,0,0
2025-05-13T09:17:15Z,22.10,66.06,98,8,70.47,100.85,null,null,13,18,19,3120,731,74,5,0,0
2025-05-13T09:18:15Z,22.23,64.80,97,9,79.68,100.85,null,null,null,null,null,null,null,null,null,null,null
2025-05-13T09:19:17Z,22.30,64.41,96,12,52.03,100.84,0.00,400.00,12,18,19,2565,660,113,10,2,1
2025-05-13T09:20:17Z,22.30,62.34,97,46,65.55,100.85,0.00,400.00,14,18,18,3063,712,73,4,0,0
2025-05-13T09:21:17Z,22.30,62.32,97,23,58.26,100.84,1.00,409.00,13,19,21,2526,687,93,9,2,0
2025-05-13T09:22:17Z,21.84,62.42,97,511,54.90,100.85,1.00,409.00,13,17,18,2625,677,78,5,0,0
2025-05-13T09:23:17Z,21.49,63.67,97,657,59.61,100.84,0.00,400.00,13,19,22,2439,740,92,12,2,2
2025-05-13T09:24:17Z,21.19,64.88,97,500,59.45,100.84,1.00,411.00,18,22,23,5949,1033,72,5,0,0
2025-05-13T09:25:17Z,21.13,65.47,97,529,76.08,100.84,2.00,418.00,14,21,23,2682,761,119,5,2,0
2025-05-13T09:26:17Z,20.85,65.56,97,550,44.37,100.84,1.00,408.00,12,19,21,2142,654,97,12,3,0
2025-05-13T09:27:17Z,20.63,65.26,97,533,45.38,100.83,0.00,400.00,14,19,20,2397,713,104,4,0,0
2025-05-13T09:28:17Z,20.61,65.59,97,917,46.78,100.82,0.00,402.00,12,16,17,1920,597,65,7,1,0
2025-05-13T09:29:17Z,20.52,66.24,97,782,47.05,100.82,3.00,425.00,9,16,17,1923,563,71,13,1,0
2025-05-13T09:30:17Z,20.55,65.66,97,691,59.73,100.82,0.00,400.00,12,20,20,2220,673,103,6,0,0
2025-05-13T09:31:17Z,20.41,66.58,97,691,50.70,100.82,0.00,400.00,14,20,21,2325,680,112,11,2,0
2025-05-13T09:32:17Z,20.46,67.75,97,815,68.23,100.81,0.00,400.00,10,15,16,1935,552,75,4,1,0
2025-05-13T09:33:17Z,20.29,66.90,97,758,45.94,100.81,0.00,400.00,13,18,21,2223,658,110,7,2,2
2025-05-13T09:34:17Z,20.17,67.98,97,750,60.97,100.82,0.00,400.00,9,13,14,1707,492,63,5,1,0
2025-05-13T09:35:17Z,19.76,67.22,97,663,70.10,100.82,1.00,411.00,9,14,15,1881,517,65,6,1,0
2025-05-13T09:36:17Z,19.92,67.78,97,678,72.86,100.82,1.00,413.00,11,16,18,1878,559,85,10,1,0
2025-05-13T09:37:17Z,20.03,69.11,97,620,66.27,100.82,0.00,403.00,12,15,16,1815,563,79,4,1,0
2025-05-13T09:38:17Z,19.93,66.62,97,735,55.23,100.82,0.00,400.00,9,13,15,1788,502,65,4,3,0
2025-05-13T09:39:17Z,20.05,67.64,97,579,73.70,100.83,2.00,414.00,12,15,16,2121,601,68,3,1,0
2025-05-13T09:40:17Z,20.10,67.92,97,645,45.22,100.82,9.00,460.00,10,16,17,1761,542,78,10,1,0
2025-05-13T09:41:17Z,20.07,67.36,97,680,44.91,100.82,6.00,441.00,9,12,12,1668,482,37,1,0,0
2025-05-13T09:42:17Z,20.13,67.90,97,524,51.64,100.83,5.00,436.00,9,14,15,1884,517,59,8,0,0
2025-05-13T09:43:17Z,20.26,66.72,97,560,49.50,100.82,8.00,459.00,11,14,14,1704,507,72,2,1,0
2025-05-13T09:44:17Z,20.19,66.67,97,622,48.40,100.82,7.00,452.00,8,11,13,1482,436,55,5,1,0
2025-05-13T09:45:17Z,20.13,65.15,97,603,47.17,100.82,6.00,441.00,12,16,17,2061,580,97,5,0,0
2025-05-13T09:46:17Z,20.10,66.93,97,587,45.32,100.83,5.00,436.00,11,15,15,1938,547,59,6,0,0
2025-05-13T09:47:17Z,20.07,66.06,97,647,77.87,100.83,1.00,410.00,12,17,18,2019,592,83,9,0,0
2025-05-13T09:48:17Z,20.09,66.06,97,681,63.86,100.83,4.00,427.00,10,19,23,1932,594,121,15,3,0
2025-05-13T09:49:17Z,20.05,67.65,97,795,63.53,100.83,2.00,416.00,8,15,18,1908,520,76,18,3,1
2025-05-13T09:50:20Z,20.23,67.49,97,861,68.81,100.82,1.00,407.00,9,15,16,1731,512,81,6,1,0
2025-05-13T09:51:23Z,20.27,66.96,97,659,67.94,100.83,0.00,400.00,12,18,19,2073,617,98,7,0,0
2025-05-13T09:52:26Z,20.34,65.58,96,647,48.91,100.82,0.00,400.00,11,15,17,1740,506,82,10,3,2
2025-05-13T09:53:29Z,20.31,63.61,96,645,61.37,100.81,0.00,400.00,8,13,13,1746,492,69,2,0,0
2025-05-13T09:54:32Z,20.37,63.85,96,681,46.18,100.81,0.00,402.00,10,15,16,1842,533,77,8,1,0
2025-05-13T09:55:35Z,20.43,64.58,97,3379,60.67,100.77,0.00,400.00,11,14,14,1725,517,53,2,1,0
2025-05-13T09:56:38Z,20.29,64.64,96,680,50.88,100.81,0.00,400.00,9,15,16,1518,482,87,6,0,0
2025-05-13T09:57:41Z,20.12,65.38,96,604,60.15,100.82,0.00,400.00,12,18,21,2154,610,111,10,2,0
2025-05-13T09:58:44Z,20.20,65.42,96,527,48.38,100.82,3.00,426.00,9,15,16,1779,509,80,8,0,0
2025-05-13T09:59:47Z,20.39,66.12,96,923,51.68,100.80,5.00,434.00,10,16,17,2007,533,80,7,2,0
2025-05-13T10:00:50Z,20.10,64.68,96,413,47.92,100.83,0.00,400.00,10,15,16,1812,543,81,6,0,0
2025-05-13T10:01:53Z,20.17,65.38,96,381,64.96,100.83,7.00,448.00,10,15,17,1980,549,71,8,2,1
2025-05-13T10:02:56Z,20.31,66.16,96,548,69.67,100.81,7.00,447.00,9,15,17,1761,532,89,13,1,0
2025-05-13T10:03:59Z,20.41,65.60,96,444,43.17,100.81,0.00,402.00,11,15,16,1839,553,78,4,1,0
2025-05-13T10:05:02Z,20.43,64.88,96,483,43.30,100.81,0.00,401.00,9,14,16,1788,524,81,8,1,0
2025-05-13T10:06:05Z,20.54,66.08,96,559,49.51,100.81,0.00,401.00,10,15,15,1818,531,65,5,1,0
2025-05-13T10:07:08Z,20.70,66.32,96,478,53.81,100.82,0.00,400.00,8,13,15,1743,474,70,11,1,0
2025-05-13T10:08:11Z,20.81,65.19,96,463,42.71,100.81,0.00,400.00,10,16,16,2001,567,85,2,0,0
2025-05-13T10:09:14Z,20.92,65.31,96,447,45.92,100.82,0.00,400.00,11,15,15,1836,554,79,4,0,0
2025-05-13T10:10:17Z,20.81,64.29,96,370,41.53,100.83,0.00,400.00,10,15,15,1866,518,54,9,0,0
2025-05-13T10:11:20Z,20.92,63.62,96,4617,51.78,100.78,0.00,406.00,12,17,21,2040,584,90,13,4,0
2025-05-13T10:12:23Z,21.02,63.80,96,2615,61.87,100.77,1.00,407.00,17,20,22,4716,899,63,6,3,1
2025-05-13T10:13:26Z,21.26,66.56,96,7,62.63,100.82,2.00,414.00,24,30,33,6846,1325,101,8,2,1
2025-05-13T10:14:29Z,21.57,64.40,96,119,57.17,100.64,7.00,451.00,9,13,16,1641,483,87,7,3,0
2025-05-13T10:15:32Z,21.50,61.89,96,347,70.58,100.64,9.00,464.00,9,14,15,1695,494,58,7,1,0
2025-05-13T10:16:35Z,21.74,60.99,96,518,63.03,100.61,9.00,465.00,22,25,28,4515,1194,72,7,2,2
2025-05-13T10:17:38Z,21.99,60.49,96,4474,56.62,100.56,3.00,426.00,13,15,17,2466,690,74,4,1,1
2025-05-13T10:18:41Z,22.31,60.26,96,6046,49.00,100.51,6.00,441.00,10,13,14,1806,536,73,3,1,0
2025-05-13T10:19:44Z,22.97,57.91,96,4612,52.79,100.53,5.00,433.00,9,14,15,1791,527,76,10,0,0
2025-05-13T10:20:47Z,24.45,55.46,96,6757,60.62,100.50,4.00,427.00,6,9,9,972,306,69,2,0,0
2025-05-13T10:21:50Z,24.59,54.85,96,6860,69.74,100.50,0.00,400.00,9,13,15,1788,507,73,7,2,2
2025-05-13T10:22:53Z,24.42,54.54,96,6047,55.22,100.51,0.00,400.00,8,14,15,1713,490,94,10,1,1
2025-05-13T10:23:56Z,24.32,54.63,96,6881,55.87,100.50,0.00,400.00,4,10,10,861,287,82,6,0,0
2025-05-13T10:24:59Z,24.58,54.04,96,3500,47.82,100.54,0.00,400.00,8,12,12,1395,454,81,2,0,0
2025-05-13T10:26:02Z,24.74,53.32,96,2555,54.54,100.54,0.00,401.00,8,11,11,2040,437,59,4,0,0
2025-05-13T10:27:05Z,23.73,54.74,96,3461,51.82,100.54,0.00,400.00,7,9,9,1422,370,44,0,0,0
2025-05-13T10:28:08Z,23.78,54.73,96,8258,55.63,100.49,0.00,400.00,7,9,9,1095,362,44,0,0,0
2025-05-13T10:29:11Z,23.61,54.49,96,5371,48.57,100.50,0.00,401.00,8,11,12,1392,449,58,5,1,0
2025-05-13T10:30:14Z,24.28,53.91,96,7128,55.76,100.49,0.00,400.00,8,11,12,1455,441,57,4,1,0
2025-05-13T10:31:17Z,24.74,52.09,96,6865,50.52,100.50,0.00,400.00,6,9,9,1161,364,53,3,0,0
