TIME,TEMP,HUM,BATT,LIGHT,NOISE_A,PRESS,CCS811_VOCS,CCS811_ECO2,PM_1,PM_25,PM_10,PN_03,PN_05,PN_1,PN_25,PN_5,PN_10
ISO 8601,C,%,%,Lux,dBA,kPa,ppb,ppm,ug/m3,ug/m3,ug/m3,#/0.1l,#/0.1l,#/0.1l,#/0.1l,#/0.1l,#/0.1l
Time,Temperature,Humidity,Battery,Light,Noise dBA,Barometric pressure,VOC Gas CCS811,eCO2 Gas CCS811,PM 1.0,PM 2.5,PM 10.0,PN 0.3,PN 0.5,PN 1.0,PN 2.5,PN 5.0,PN 10.0
,55,56,10,14,53,58,113,112,89,87,88,0,0,0,0,0,0
2020-10-14T08:19:19Z,17.92,64.02,-1,61,29.71,100.16,0,400,6,8,8,1413,359,21,1,0,0
2020-10-14T08:20:19Z,17.95,62.62,-1,70,31.11,100.16,47,715,6,9,12,1365,363,41,6,2,1
2020-10-14T08:21:19Z,17.96,61.76,-1,61,40.51,100.15,42,682,5,5,5,1122,282,10,1,0,0
2020-10-14T08:22:19Z,17.96,60.91,-1,68,38.5,100.15,36,641,6,7,7,1239,324,28,1,0,0
2020-10-14T08:23:19Z,17.96,60.79,-1,74,42.13,100.16,28,589,6,8,9,1182,326,35,2,0,0
2020-10-14T08:24:19Z,17.96,60.43,-1,68,31.04,100.15,19,531,7,10,11,1494,412,40,3,1,0
2020-10-14T08:25:19Z,18.02,61.11,-1,74,29.86,100.15,18,520,5,9,9,1128,328,45,3,1,0
2020-10-14T08:26:19Z,18.02,61.83,-1,72,60.24,100.15,9,461,5,8,8,1071,322,25,1,0,0
2020-10-14T08:27:19Z,18.03,61.47,-1,71,30.98,100.15,4,428,5,8,9,1161,322,28,4,2,1
2020-10-14T08:28:19Z,18.08,62.2,-1,77,32.32,100.15,1,409,6,7,7,1263,333,33,2,0,0
2020-10-14T08:29:19Z,18.06,62.27,-1,78,29.44,100.16,0,400,3,4,4,621,163,28,0,0,0
2020-10-14T08:30:19Z,18.08,60.38,-1,77,32.41,100.15,0,400,5,6,10,1092,310,27,5,3,1
2020-10-14T08:31:19Z,18.1,60.8,-1,77,30.05,100.16,0,400,5,8,8,1161,312,47,3,0,0
2020-10-14T08:32:19Z,18.13,61.53,-1,69,49.5,100.16,0,400,5,6,8,1071,311,29,1,0,0
2020-10-14T08:33:19Z,18.15,61.27,-1,73,29.07,100.16,0,400,4,5,5,978,257,13,1,0,0
2020-10-14T08:34:19Z,18.15,60.44,-1,71,42.22,100.16,0,400,3,4,4,930,231,22,1,0,0
2020-10-14T08:35:19Z,18.16,60.22,-1,70,36.57,100.16,0,400,5,7,7,1014,315,22,1,0,0
2020-10-14T08:36:19Z,18.16,60.29,-1,69,36.68,100.16,0,400,5,7,7,1128,302,44,2,0,0
2020-10-14T08:37:19Z,18.19,60.85,-1,66,30.18,100.15,0,400,5,8,8,987,304,35,3,0,0
2020-10-14T08:38:19Z,18.2,60.27,-1,66,43.8,100.16,0,400,3,5,8,600,198,39,5,2,1
2020-10-14T08:39:19Z,18.19,59.95,-1,65,30.91,100.16,0,400,6,9,9,1200,350,37,2,0,0
2020-10-14T08:40:19Z,18.22,61.66,-1,66,31.49,100.16,0,400,6,9,9,1086,357,40,2,0,0
2020-10-14T08:41:19Z,18.26,60.75,-1,52,32.57,100.16,0,400,6,7,7,1038,335,39,1,0,0
2020-10-14T08:42:19Z,18.27,60.08,-1,66,32,100.17,0,400,5,9,9,1161,334,38,2,0,0
2020-10-14T08:43:19Z,18.29,59.87,-1,67,25.5,100.16,0,400,5,9,9,960,298,53,2,0,0
2020-10-14T08:44:19Z,18.29,59.95,-1,68,51.41,100.17,0,400,4,5,5,816,253,22,0,0,0
2020-10-14T08:45:19Z,18.3,60.05,-1,70,43.93,100.17,0,400,6,9,12,1227,354,35,5,4,4
2020-10-14T08:46:19Z,18.3,60.68,-1,71,35.49,100.17,0,400,5,9,9,1083,333,47,3,1,0
2020-10-14T08:47:19Z,18.3,60.07,-1,72,45.01,100.16,0,400,5,6,7,1026,290,25,3,1,0
2020-10-14T08:48:19Z,18.27,59.96,-1,57,37.62,100.17,0,400,5,7,9,1149,302,33,5,2,0
2020-10-14T08:49:19Z,18.32,59.71,-1,70,35.39,100.17,0,400,4,7,7,999,281,29,2,0,0
2020-10-14T08:50:22Z,18.24,60.09,-1,88,30.24,100.16,0,400,5,7,7,1029,297,34,3,0,0
2020-10-14T08:51:25Z,18.2,60.16,-1,85,37.63,100.16,0,400,6,7,9,1128,328,29,3,0,0
2020-10-14T08:52:28Z,18.12,60.41,-1,90,34.33,100.15,0,400,5,7,9,993,304,40,6,1,0
2020-10-14T08:53:31Z,18.1,60.32,-1,84,33.1,100.16,0,400,5,9,10,987,328,39,5,1,0
2020-10-14T08:54:34Z,18.03,60.4,-1,97,31.97,100.16,0,400,5,9,9,1281,330,37,1,0,0
2020-10-14T08:55:37Z,18.02,60.42,-1,100,26.5,100.16,0,400,4,6,6,813,244,33,5,0,0
2020-10-14T08:56:40Z,18.01,60.47,-1,103,28.19,100.16,0,400,5,7,7,945,306,25,3,0,0
2020-10-14T08:57:43Z,17.96,60.54,-1,108,42.54,100.16,0,400,5,7,9,1080,309,36,6,1,1
2020-10-14T08:58:46Z,17.93,60.5,-1,110,30.3,100.16,0,400,6,8,9,1209,335,37,1,1,0
2020-10-14T08:59:49Z,17.93,60.52,-1,112,25.09,100.16,0,400,5,9,11,1206,340,41,6,4,0
2020-10-14T09:00:52Z,17.93,60.47,-1,112,28.02,100.16,0,400,5,9,10,1014,312,37,5,2,1
2020-10-14T09:01:55Z,17.92,60.5,-1,113,27.14,100.16,0,400,4,6,6,882,276,27,4,0,0
2020-10-14T09:02:58Z,17.91,60.45,-1,115,34.16,100.16,0,400,4,8,10,1080,286,44,7,2,0
2020-10-14T09:04:01Z,17.91,60.45,-1,115,30.91,100.16,0,400,5,9,10,999,317,46,4,1,0
2020-10-14T09:05:04Z,17.89,60.46,-1,117,28.68,100.16,0,400,5,6,6,1065,301,23,1,0,0
2020-10-14T09:06:07Z,17.88,60.49,-1,118,31.26,100.16,0,400,6,9,10,1275,360,34,2,1,0
2020-10-14T09:07:10Z,17.88,60.39,-1,119,26.93,100.16,0,400,7,10,10,1443,372,26,3,0,0
2020-10-14T09:08:13Z,17.86,60.37,-1,123,28.37,100.16,0,400,7,10,12,1359,395,42,7,3,1
2020-10-14T09:09:16Z,17.84,60.33,-1,125,28.78,100.15,0,400,5,9,11,1155,324,45,7,2,0
2020-10-14T09:10:19Z,17.86,60.32,-1,127,29.7,100.15,0,400,6,9,12,1308,342,38,9,4,1
2020-10-14T09:11:22Z,17.85,60.26,-1,129,28.15,100.15,0,400,6,10,11,1215,390,43,5,2,0
2020-10-14T09:12:25Z,17.85,60.26,-1,134,26.06,100.15,0,400,6,9,10,990,322,44,3,1,0
2020-10-14T09:13:28Z,17.84,60.25,-1,136,31.06,100.14,0,400,6,9,9,1077,337,39,1,0,0
2020-10-14T09:14:31Z,17.88,60.22,-1,134,30.08,100.14,0,400,6,9,9,1146,363,33,3,0,0
2020-10-14T09:15:34Z,17.85,60.17,-1,133,28.27,100.14,0,400,6,9,9,1143,353,44,1,0,0
2020-10-14T09:16:37Z,17.82,60.18,-1,133,29.8,100.14,0,400,6,10,12,1128,344,49,9,2,1
2020-10-14T09:17:40Z,17.84,60.2,-1,131,28.48,100.14,0,400,6,9,10,1245,347,44,4,0,0
2020-10-14T09:18:43Z,17.82,60.19,-1,131,28.22,100.13,0,400,4,5,6,975,299,18,2,1,0
2020-10-14T09:19:46Z,17.82,60.16,-1,131,44.13,100.13,0,400,5,8,8,921,307,42,3,0,0
2020-10-14T09:20:49Z,17.79,60.2,-1,131,26.26,100.13,0,400,6,9,11,1227,370,41,3,2,0
2020-10-14T09:21:52Z,17.79,60.15,-1,128,33.68,100.14,0,400,5,8,9,1005,294,34,4,1,0
2020-10-14T09:22:55Z,17.81,60.15,-1,127,28.39,100.14,0,400,6,9,10,1089,342,35,6,2,0
2020-10-14T09:23:58Z,17.75,60.12,-1,126,28.17,100.14,0,400,5,8,8,981,327,18,3,1,0
2020-10-14T09:25:01Z,17.74,60.1,-1,125,26.95,100.14,0,400,6,9,9,1029,309,45,3,0,0
2020-10-14T09:26:04Z,17.77,60.16,-1,124,29.36,100.14,0,400,7,10,11,1365,376,49,6,0,0
2020-10-14T09:27:07Z,17.74,60.19,-1,122,28.3,100.14,0,400,6,11,11,1170,364,51,6,0,0
2020-10-14T09:28:10Z,17.71,60.1,-1,118,31.55,100.14,5,439,6,8,8,1296,351,23,1,1,0
2020-10-14T09:29:13Z,17.68,60.14,-1,115,29.42,100.14,4,432,4,5,6,918,256,39,2,1,0
2020-10-14T09:30:16Z,17.7,60.16,-1,113,30.78,100.14,4,432,3,4,6,678,190,31,2,2,0
2020-10-14T09:31:19Z,17.7,60.1,-1,111,28.55,100.14,3,421,3,4,4,600,187,19,1,0,0
2020-10-14T09:32:22Z,17.71,60.18,-1,108,30.95,100.14,3,421,6,9,10,1335,377,33,5,2,1
2020-10-14T09:33:25Z,17.7,60.2,-1,106,29.78,100.14,2,417,7,9,9,1464,410,24,1,1,0
2020-10-14T09:34:28Z,17.68,60.24,-1,104,27.94,100.14,1,413,6,9,10,1158,355,35,5,1,0
2020-10-14T09:35:31Z,17.67,60.19,-1,103,29.53,100.14,1,409,6,7,7,1188,357,14,1,0,0
2020-10-14T09:36:34Z,17.65,60.18,-1,102,29.26,100.14,0,403,6,7,7,1281,352,25,1,0,0
2020-10-14T09:37:37Z,17.64,60.23,-1,104,28.51,100.14,0,403,6,9,12,1146,365,39,6,4,1
2020-10-14T09:38:40Z,17.62,60.25,-1,107,32.98,100.14,0,400,6,9,9,1404,372,21,2,0,0
2020-10-14T09:39:43Z,17.62,60.24,-1,108,34.7,100.14,0,400,6,10,12,1332,373,49,6,2,0
2020-10-14T09:40:46Z,17.6,60.24,-1,111,32.27,100.14,0,400,6,9,11,1200,356,37,6,3,0
