ISO 8601,C,%,%,Lux,dBA,kPa,ppb,ppm,ug/m3,ug/m3,ug/m3,#/0.1l,#/0.1l,#/0.1l,#/0.1l,#/0.1l,#/0.1l
,55,56,10,14,53,58,113,112,89,87,88,0,0,0,0,0,0
TIME,TEMP,HUM,BATT,LIGHT,NOISE_A,PRESS,CCS811_VOCS,CCS811_ECO2,PM_1,PM_25,PM_10,PN_03,PN_05,PN_1,PN_25,PN_5,PN_10
Time,Temperature,Humidity,Battery,Light,Noise dBA,Barometric pressure,VOC Gas CCS811,eCO2 Gas CCS811,PM 1.0,PM 2.5,PM 10.0,PN 0.3,PN 0.5,PN 1.0,PN 2.5,PN 5.0,PN 10.0
2025-05-13T10:16:28Z,21.25,62.25,98,6649,49.06,100.65,6.00,444.00,9,11,11,1389,411,67,0,0,0
2025-05-13T10:17:30Z,22.17,60.67,98,4539,52.43,100.64,7.00,448.00,8,9,9,1158,348,43,0,0,0
2025-05-13T10:18:32Z,22.88,59.72,98,5955,50.24,100.62,5.00,438.00,5,6,10,942,258,56,4,4,2
2025-05-13T10:19:34Z,22.55,59.55,98,4667,48.70,100.64,0.00,400.00,7,11,12,1386,436,44,2,2,2
2025-05-13T10:20:36Z,24.06,57.42,98,7198,44.53,100.60,5.00,436.00,6,7,7,1089,336,30,0,0,0
2025-05-13T10:21:38Z,24.77,54.77,98,7706,45.48,100.58,0.00,400.00,10,10,10,1596,478,42,0,0,0
2025-05-13T10:22:40Z,24.29,55.78,98,5139,51.21,100.60,0.00,400.00,7,7,7,1125,340,26,0,0,0
2025-05-13T10:23:42Z,23.78,56.30,98,6117,44.58,100.61,0.00,400.00,5,5,6,1011,296,20,2,0,0
2025-05-13T10:24:44Z,24.14,55.78,98,4124,51.01,100.63,0.00,400.00,9,11,11,1542,441,52,0,0,0
2025-05-13T10:25:46Z,24.52,54.64,98,3007,49.39,100.62,1.00,407.00,6,8,8,1050,324,47,0,0,0
2025-05-13T10:26:48Z,24.26,53.88,98,3076,50.39,100.64,2.00,414.00,4,4,4,789,221,12,0,0,0
2025-05-13T10:27:50Z,23.41,56.51,98,6712,48.39,100.58,0.00,400.00,6,7,7,1107,311,43,0,0,0
2025-05-13T10:28:52Z,23.20,56.12,98,7616,58.22,100.58,0.00,406.00,4,4,4,699,215,22,0,0,0
2025-05-13T10:29:54Z,23.77,55.29,98,6708,48.43,100.58,5.00,435.00,6,7,7,1173,327,30,0,0,0
2025-05-13T10:30:56Z,24.42,54.05,98,8303,57.41,100.57,0.00,400.00,6,8,8,1155,350,35,0,0,0
2025-05-13T10:31:58Z,24.96,53.70,98,8212,47.26,100.55,0.00,400.00,4,5,5,690,230,26,0,0,0
2025-05-13T10:33:00Z,26.47,51.42,97,6397,46.64,100.57,0.00,400.00,7,8,8,1209,357,43,0,0,0
2025-05-13T10:34:02Z,26.79,50.80,98,3063,51.84,100.60,0.00,400.00,4,4,4,660,195,40,0,0,0
2025-05-13T10:35:04Z,25.66,51.88,98,2619,51.19,100.60,0.00,400.00,8,10,10,1347,401,47,2,0,0
2025-05-13T10:36:06Z,25.72,51.66,97,5691,60.30,100.56,0.00,403.00,7,7,7,1071,335,22,0,0,0
2025-05-13T10:37:08Z,25.87,51.24,97,5629,66.51,100.56,1.00,408.00,5,5,5,975,269,18,0,0,0
2025-05-13T10:38:10Z,25.61,50.83,97,6520,66.58,100.56,0.00,400.00,5,5,5,867,258,24,0,0,0
2025-05-13T10:39:12Z,25.73,50.86,97,8008,56.45,100.56,1.00,410.00,4,6,6,1005,280,26,2,0,0
2025-05-13T10:40:14Z,24.83,52.17,97,3254,54.42,100.59,0.00,400.00,8,9,9,1353,396,43,0,0,0
2025-05-13T10:41:16Z,25.65,51.45,97,4249,53.89,100.59,2.00,414.00,9,10,10,1437,439,52,0,0,0
2025-05-13T10:42:18Z,25.71,52.05,97,3750,57.73,100.58,0.00,400.00,7,8,9,1299,386,26,2,2,2
2025-05-13T10:43:20Z,25.58,51.52,97,2907,51.87,100.59,0.00,400.00,8,8,8,1344,388,32,0,0,0
2025-05-13T10:44:22Z,25.42,53.90,97,2557,49.08,100.58,1.00,411.00,6,6,6,1242,345,0,0,0,0
2025-05-13T10:45:24Z,25.65,52.72,97,3161,60.20,100.58,0.00,400.00,8,9,9,1290,373,58,0,0,0
2025-05-13T10:46:26Z,25.64,52.94,97,2766,53.34,100.58,1.00,407.00,5,5,5,876,237,11,0,0,0
2025-05-13T10:47:28Z,24.98,53.83,97,3200,60.50,100.57,0.00,400.00,8,10,10,1305,389,35,0,0,0
2025-05-13T10:48:30Z,24.71,54.14,97,2552,51.57,100.57,1.00,411.00,10,12,12,1560,482,43,0,0,0
2025-05-13T10:49:32Z,24.69,54.02,97,1493,49.61,100.58,3.00,426.00,6,7,7,1143,311,50,0,0,0
2025-05-13T10:50:34Z,24.62,54.23,97,1600,66.97,100.60,4.00,432.00,8,10,10,1428,422,41,0,0,0
2025-05-13T10:51:36Z,24.59,54.10,97,2611,52.80,100.59,2.00,417.00,8,9,9,1443,412,38,0,0,0
2025-05-13T10:52:38Z,24.62,54.00,97,5788,59.21,100.54,3.00,422.00,8,8,8,1227,372,16,0,0,0
2025-05-13T10:53:40Z,25.28,52.82,97,5750,69.87,100.53,3.00,422.00,6,7,7,1083,313,39,0,0,0
2025-05-13T10:54:42Z,26.71,51.61,97,6614,56.49,100.54,0.00,400.00,8,10,12,1368,422,52,2,2,2
