Mean [C],Std. Dev. [C],Maximum [C],Minimum [C]
24.52,0.05,24.67,24.34
24.52,0.05,24.68,24.34
24.51,0.05,24.65,24.31
24.49,0.05,24.64,24.31
24.46,0.04,24.62,24.28
24.46,0.05,24.61,24.24
24.46,0.05,24.59,24.29
24.48,0.04,24.65,24.27
24.49,0.04,24.68,24.32
24.51,0.04,24.65,24.33
24.52,0.05,24.65,24.33
24.52,0.04,24.65,24.33
24.49,0.05,24.62,24.29
24.49,0.05,24.65,24.3
24.49,0.05,24.66,24.28
24.52,0.05,24.66,24.34
24.5,0.05,24.65,24.32
24.49,0.05,24.63,24.32
24.49,0.05,24.66,24.3
24.49,0.05,24.64,24.27
24.47,0.05,24.62,24.23
24.48,0.05,24.69,24.3
24.47,0.04,24.62,24.29
24.48,0.04,24.65,24.29
24.47,0.04,24.66,24.3
24.46,0.04,24.61,24.27
24.47,0.05,24.62,24.3
24.51,0.05,24.65,24.32
24.53,0.05,24.74,24.35
24.6,0.07,24.84,24.39
24.7,0.08,25.01,24.47
24.74,0.07,24.98,24.53
25.1,0.16,25.6,24.66
25.89,0.28,26.56,25.18
26.34,0.32,27.1,25.56
26.89,0.38,27.74,25.85
27.08,0.41,28.03,25.85
27.47,0.39,28.22,26.09
27.76,0.44,28.64,26.14
27.91,0.47,28.93,26.15
28.07,0.44,29.05,26.38
28.26,0.45,29.23,26.56
28.33,0.43,29.22,26.75
28.57,0.54,29.89,26.81
28.68,0.5,29.76,26.92
28.67,0.43,29.61,27.0
28.73,0.39,29.49,27.12
28.72,0.37,29.4,27.22
28.82,0.4,29.65,27.4
28.66,0.36,29.41,27.33
28.55,0.41,29.59,27.36
28.54,0.41,29.49,27.28
28.62,0.45,29.42,27.25
28.65,0.41,29.41,27.36
28.61,0.45,29.46,27.35
28.48,0.38,29.18,27.34
28.41,0.3,29.03,27.52
28.26,0.28,28.85,27.36
28.1,0.26,28.71,27.22
28.02,0.23,28.55,27.17
27.9,0.19,28.35,27.17
27.77,0.17,28.08,27.0
27.69,0.18,28.24,27.11
27.59,0.16,28.09,27.18
27.51,0.14,27.93,27.06
27.42,0.14,27.87,27.0
27.37,0.13,27.79,26.99
27.25,0.12,27.66,26.86
27.19,0.12,27.55,26.76
27.2,0.18,27.73,26.68
27.48,0.28,28.22,26.73
27.44,0.29,28.6,26.75
27.62,0.52,28.93,26.78
27.63,0.54,28.87,26.69
27.7,0.52,28.67,26.69
27.71,0.47,28.7,26.66
27.67,0.41,28.59,26.72
27.63,0.31,28.3,26.8
27.71,0.34,28.33,26.8
27.69,0.29,28.15,26.81
27.67,0.27,28.11,26.78
27.65,0.23,28.19,26.92
27.66,0.26,28.29,26.87
27.84,0.26,28.49,27.02
28.01,0.36,28.76,27.0
28.06,0.48,29.04,26.92
28.14,0.53,29.36,26.84
28.08,0.52,29.24,26.89
28.05,0.47,29.03,26.73
27.87,0.46,28.94,26.68
27.79,0.47,28.82,26.65
27.94,0.46,28.89,26.74
27.98,0.35,28.68,26.75
27.87,0.29,28.68,26.81
27.73,0.24,28.34,26.7
27.89,0.31,28.57,26.61
27.91,0.29,28.54,26.95
27.82,0.3,28.51,27.0
27.77,0.33,28.48,26.94
27.72,0.36,28.44,26.86
27.81,0.35,28.48,26.81
27.97,0.41,28.94,26.85
27.91,0.45,28.85,26.88
27.82,0.41,28.7,26.8
27.96,0.44,28.87,26.73
27.82,0.4,28.69,26.64
27.77,0.39,28.48,26.58
27.75,0.38,28.54,26.54
27.51,0.31,28.25,26.45
27.47,0.3,28.23,26.46
27.59,0.29,28.34,26.68
27.54,0.25,28.09,26.71
27.44,0.23,27.95,26.61
27.37,0.23,27.78,26.52
27.28,0.22,27.77,26.49
27.18,0.2,27.63,26.37
27.12,0.17,27.49,26.3
27.06,0.17,27.44,26.29
27.0,0.17,27.48,26.28
26.92,0.16,27.33,26.28
26.87,0.17,27.42,26.27
26.93,0.22,27.44,26.19
27.06,0.32,27.65,26.16
27.04,0.33,27.85,26.14
27.02,0.38,27.9,26.12
26.96,0.41,28.14,26.05
26.91,0.42,28.09,26.02
26.89,0.4,27.93,26.03
26.85,0.35,27.71,26.1
26.88,0.34,27.49,26.06
26.88,0.32,27.47,26.06
26.95,0.36,27.73,26.08
26.97,0.35,27.76,26.05
26.95,0.35,27.77,26.05
26.89,0.33,27.63,25.98
26.85,0.32,27.58,26.08
26.83,0.32,27.55,26.04
26.85,0.35,27.6,26.07
26.76,0.3,27.44,26.08
26.7,0.34,27.52,26.06
26.78,0.35,27.58,26.04
26.84,0.39,27.77,26.01
26.81,0.36,27.67,26.05
26.71,0.31,27.47,26.02
26.91,0.29,27.66,26.08
26.91,0.26,27.64,26.23
26.82,0.23,27.49,26.17
26.71,0.2,27.27,26.11
26.74,0.21,27.18,26.04
26.67,0.19,27.0,25.95
26.76,0.17,27.17,26.04
26.72,0.17,27.09,26.11
26.68,0.19,27.11,26.16
26.62,0.16,26.97,26.08
26.58,0.12,26.84,26.1
26.54,0.11,26.8,26.04
26.45,0.11,26.76,25.9
26.45,0.14,26.85,25.81
26.53,0.13,26.94,26.11
26.65,0.19,27.38,26.08
26.68,0.17,27.15,26.19
26.74,0.2,27.28,26.18
26.75,0.18,27.24,26.08
26.88,0.24,27.49,26.04
27.05,0.24,27.81,26.09
27.27,0.32,28.37,26.12
27.31,0.31,28.18,26.15
27.2,0.3,27.94,26.11
27.24,0.28,27.84,26.31
27.35,0.43,28.57,26.39
27.32,0.46,28.45,26.37
27.33,0.49,28.4,26.32
27.25,0.49,28.24,26.19
