Mean [C],Std. Dev. [C],Maximum [C],Minimum [C]
24.94,0.03,25.16,24.69
24.92,0.03,25.12,24.73
24.89,0.03,25.14,24.65
24.9,0.03,25.12,24.69
24.89,0.03,25.08,24.67
24.87,0.03,25.04,24.64
24.86,0.03,25.04,24.57
24.87,0.03,25.12,24.65
24.85,0.03,25.07,24.62
24.85,0.03,25.04,24.61
24.87,0.03,25.09,24.63
24.87,0.03,25.07,24.65
24.85,0.03,25.07,24.59
24.86,0.03,25.1,24.61
24.87,0.03,25.07,24.68
24.85,0.03,25.02,24.57
24.85,0.03,25.07,24.58
24.84,0.03,25.02,24.58
24.85,0.03,25.07,24.61
24.83,0.03,25.03,24.62
24.83,0.03,25.14,24.55
24.82,0.03,25.04,24.55
24.84,0.03,25.04,24.57
24.86,0.03,25.04,24.62
24.85,0.03,25.04,24.6
24.84,0.03,25.03,24.6
24.83,0.03,25.01,24.54
24.79,0.03,24.97,24.52
24.79,0.03,25.03,24.49
24.81,0.03,24.98,24.56
24.81,0.03,25.01,24.53
24.8,0.03,25.05,24.54
24.8,0.03,24.95,24.56
24.81,0.03,25.02,24.55
24.81,0.03,25.0,24.53
24.81,0.03,25.0,24.58
24.81,0.03,25.01,24.53
24.81,0.03,24.95,24.52
24.81,0.03,25.09,24.51
24.8,0.03,25.02,24.52
24.76,0.03,24.92,24.52
24.75,0.03,24.96,24.47
24.77,0.03,24.95,24.46
24.74,0.03,24.96,24.46
24.74,0.03,24.97,24.42
24.73,0.03,24.95,24.51
24.75,0.03,25.01,24.52
24.8,0.03,25.01,24.6
24.88,0.03,25.05,24.64
24.87,0.03,25.05,24.61
24.94,0.07,25.22,24.69
24.93,0.07,25.31,24.66
24.91,0.07,25.34,24.55
24.93,0.07,25.35,24.63
24.98,0.07,25.37,24.72
24.99,0.06,25.35,24.73
24.99,0.06,25.3,24.7
24.98,0.06,25.25,24.7
24.99,0.06,25.26,24.67
24.96,0.06,25.22,24.66
24.97,0.06,25.21,24.68
24.96,0.06,25.17,24.64
24.97,0.05,25.21,24.71
24.99,0.05,25.17,24.67
25.02,0.05,25.22,24.77
25.05,0.05,25.23,24.72
25.05,0.05,25.4,24.78
25.06,0.05,25.25,24.76
25.07,0.05,25.29,24.82
25.03,0.05,25.25,24.73
25.05,0.05,25.25,24.64
25.03,0.04,25.22,24.78
25.04,0.04,25.29,24.71
