Mean [C],Std. Dev. [C],Maximum [C],Minimum [C]
24.44,0.12,24.91,23.86
24.44,0.12,24.89,23.84
24.44,0.12,24.85,23.87
24.42,0.12,24.7,23.89
24.38,0.12,24.67,23.82
24.38,0.13,24.72,23.76
24.38,0.12,24.93,23.81
24.41,0.12,24.77,23.79
24.41,0.12,24.72,23.84
24.43,0.12,24.81,23.84
24.43,0.12,24.78,23.83
24.43,0.12,24.77,23.8
24.41,0.13,24.83,23.83
24.41,0.13,24.72,23.85
24.41,0.12,24.71,23.83
24.44,0.12,24.83,23.91
24.42,0.12,24.78,23.87
24.41,0.12,24.92,23.77
24.41,0.12,24.77,23.89
24.41,0.12,24.77,23.87
24.39,0.12,24.72,23.83
24.4,0.12,24.81,23.82
24.4,0.12,24.72,23.83
24.4,0.12,24.82,23.86
24.39,0.12,24.68,23.86
24.38,0.12,24.89,23.86
24.39,0.12,24.84,23.86
24.43,0.12,24.81,23.87
24.45,0.12,24.85,23.91
24.5,0.14,25.1,23.92
24.56,0.17,25.03,23.9
24.61,0.17,25.02,23.95
24.76,0.29,25.6,24.0
25.1,0.58,26.56,23.89
25.39,0.77,27.15,24.02
25.68,0.95,27.74,24.05
25.82,1.01,28.03,24.06
26.01,1.11,28.22,24.09
26.15,1.19,28.64,24.18
26.26,1.21,28.93,24.13
26.44,1.22,29.05,24.26
26.56,1.25,29.23,24.21
26.69,1.24,29.22,24.32
26.84,1.27,29.89,24.27
26.93,1.26,29.76,24.17
26.98,1.22,29.61,24.23
27.06,1.22,29.49,24.21
27.11,1.18,29.4,24.34
27.18,1.19,29.65,24.24
27.19,1.11,29.41,24.3
27.21,1.05,29.59,24.26
27.25,1.03,29.49,24.34
27.3,1.03,29.42,24.41
27.33,1.02,29.41,24.44
27.34,0.99,29.46,24.3
27.3,0.92,29.18,24.32
27.26,0.87,29.03,24.41
27.21,0.82,28.85,24.42
27.17,0.77,28.71,24.41
27.14,0.74,28.55,24.41
27.06,0.71,28.35,24.41
26.99,0.67,28.08,24.29
26.95,0.63,28.24,24.25
26.9,0.59,28.09,24.32
26.87,0.55,27.93,24.36
26.84,0.54,27.87,24.42
26.83,0.54,27.79,24.42
26.76,0.51,27.66,24.44
26.72,0.48,27.55,24.35
26.67,0.49,27.73,24.37
26.75,0.62,28.22,24.4
26.78,0.64,28.64,24.39
26.87,0.73,28.96,24.41
26.85,0.75,28.95,24.39
26.84,0.73,28.67,24.32
26.83,0.71,28.7,24.5
26.82,0.7,28.59,24.46
26.84,0.65,28.3,24.45
26.88,0.67,28.33,24.5
26.89,0.64,28.15,24.48
26.9,0.63,28.11,24.51
26.91,0.6,28.19,24.51
26.86,0.6,28.29,24.56
26.92,0.66,28.49,24.52
26.98,0.73,28.76,24.44
27.02,0.78,29.04,24.47
27.06,0.8,29.36,24.56
27.08,0.76,29.24,24.52
27.09,0.73,29.03,24.49
27.02,0.67,28.94,24.59
26.98,0.66,28.82,24.59
27.0,0.69,28.89,24.7
26.97,0.7,28.68,24.61
26.92,0.66,28.68,24.47
26.85,0.61,28.34,24.53
26.85,0.71,28.57,24.53
26.86,0.72,28.54,24.51
26.81,0.7,28.51,24.58
26.81,0.68,28.48,24.47
26.79,0.67,28.44,24.71
26.79,0.7,28.48,24.71
26.84,0.77,28.94,24.56
26.83,0.77,28.85,24.7
26.79,0.76,28.7,24.58
26.82,0.8,28.87,24.52
26.76,0.74,28.69,24.62
26.72,0.73,28.48,24.55
26.7,0.73,28.54,24.63
26.6,0.65,28.25,24.59
26.58,0.64,28.23,24.68
26.6,0.69,28.34,24.66
26.61,0.68,28.09,24.57
26.57,0.65,27.95,24.69
26.53,0.62,27.78,24.62
26.49,0.59,27.77,24.68
26.44,0.56,27.63,24.6
26.39,0.55,27.49,24.64
26.36,0.53,27.44,24.62
26.32,0.52,27.48,24.6
26.28,0.5,27.33,24.59
26.25,0.5,27.42,24.59
26.29,0.52,27.44,24.7
26.32,0.58,27.65,24.66
26.32,0.58,27.85,24.62
26.28,0.59,27.9,24.54
26.22,0.61,28.14,24.51
26.16,0.61,28.09,24.51
26.14,0.62,27.93,24.42
26.12,0.61,27.71,24.38
26.11,0.63,27.49,24.3
26.08,0.64,27.47,24.22
26.08,0.67,27.73,24.18
26.12,0.68,27.76,24.19
26.12,0.67,27.77,24.14
26.11,0.65,27.63,24.17
26.1,0.64,27.58,24.17
26.08,0.63,27.55,24.11
26.08,0.63,27.6,24.2
26.04,0.59,27.44,24.16
25.96,0.6,27.52,24.17
25.98,0.62,27.58,24.17
25.99,0.64,27.77,24.14
25.99,0.62,27.67,24.1
25.96,0.58,27.47,24.15
26.04,0.63,27.66,24.01
26.05,0.62,27.64,24.21
26.04,0.58,27.49,24.2
26.04,0.54,27.27,24.3
26.07,0.53,27.18,24.29
26.02,0.52,27.0,24.35
26.05,0.52,27.17,24.36
26.02,0.52,27.09,24.35
26.02,0.5,27.11,24.43
26.0,0.48,26.97,24.5
26.02,0.45,26.84,24.44
26.01,0.43,26.8,24.5
25.97,0.42,26.76,24.46
25.98,0.42,26.85,24.49
26.02,0.43,26.99,24.55
26.07,0.47,27.38,24.52
26.09,0.47,27.15,24.5
26.11,0.48,27.28,24.44
26.12,0.48,27.24,24.39
26.2,0.54,27.49,24.42
26.28,0.58,27.81,24.5
26.36,0.65,28.37,24.53
26.42,0.64,28.18,24.51
26.43,0.6,27.94,24.49
26.47,0.58,27.84,24.5
26.55,0.63,28.57,24.55
26.54,0.63,28.45,24.66
26.55,0.64,28.4,24.71
26.51,0.63,28.24,24.59
26.47,0.62,28.09,24.6
26.62,0.68,28.49,24.62
26.66,0.68,28.4,24.68
26.71,0.74,29.0,24.72
