Mean [C],Std. Dev. [C],Maximum [C],Minimum [C]
24.87,0.1,25.43,23.74
24.86,0.1,25.35,23.81
24.85,0.1,25.28,23.82
24.85,0.1,25.37,23.76
24.84,0.1,25.3,23.81
24.81,0.1,25.28,23.69
24.81,0.1,25.41,23.73
24.83,0.1,25.42,23.81
24.8,0.1,25.48,23.77
24.8,0.1,25.25,23.73
24.82,0.1,25.31,23.76
24.81,0.1,25.3,23.61
24.8,0.1,25.3,23.57
24.81,0.1,25.25,23.6
24.82,0.1,25.33,23.71
24.8,0.1,25.31,23.66
24.8,0.1,25.23,23.62
24.79,0.1,25.29,23.7
24.8,0.1,25.31,23.75
24.77,0.1,25.29,23.63
24.77,0.1,25.26,23.67
24.77,0.1,25.27,23.7
24.79,0.1,25.25,23.7
24.8,0.1,25.3,23.72
24.8,0.1,25.31,23.73
24.79,0.1,25.28,23.67
24.78,0.1,25.25,23.65
24.74,0.1,25.25,23.7
24.74,0.1,25.19,23.62
24.76,0.1,25.22,23.69
24.76,0.1,25.31,23.76
24.75,0.1,25.26,23.7
24.75,0.1,25.22,23.66
24.76,0.1,25.27,23.64
24.76,0.1,25.33,23.73
24.76,0.1,25.31,23.73
24.76,0.1,25.23,23.73
24.76,0.1,25.32,23.67
24.76,0.1,25.31,23.76
24.75,0.1,25.28,23.67
24.71,0.1,25.18,23.7
24.7,0.1,25.16,23.68
24.72,0.1,25.2,23.63
24.69,0.1,25.16,23.65
24.68,0.1,25.31,23.57
24.67,0.1,25.24,23.59
24.7,0.1,25.22,23.62
24.78,0.12,25.48,23.67
24.97,0.25,26.96,23.78
24.96,0.25,33.42,23.71
25.29,1.3,40.47,23.7
25.31,1.04,36.41,23.63
25.37,0.99,37.97,23.79
25.45,1.05,38.85,23.75
25.51,0.94,34.72,23.84
25.54,0.84,32.45,23.81
25.56,0.75,31.04,23.69
25.51,0.68,29.73,23.78
25.51,0.62,29.06,23.76
25.45,0.56,28.48,23.63
25.43,0.52,28.41,23.74
25.39,0.48,27.79,23.71
25.42,0.57,29.66,23.71
25.39,0.52,28.51,23.73
25.43,0.48,28.08,23.81
25.49,0.58,29.91,23.87
25.49,0.57,29.27,23.92
25.48,0.52,28.5,23.89
25.48,0.49,28.33,23.79
25.42,0.46,28.11,23.79
25.43,0.44,27.9,23.84
25.4,0.48,31.37,23.86
25.37,0.44,28.7,23.91
25.38,0.44,28.13,23.83
25.41,0.47,31.45,23.86
25.41,0.46,29.19,23.88
25.4,0.43,28.2,23.87
25.42,0.52,30.83,23.89
25.46,0.56,29.33,23.93
25.47,0.65,29.45,23.82
25.49,0.75,33.49,23.8
25.52,0.84,31.77,23.79
25.54,0.9,32.68,23.77
25.53,0.86,30.5,23.82
25.55,0.86,29.24,23.76
25.58,0.88,33.03,23.83
25.55,0.86,32.52,23.81
25.51,0.9,36.74,23.76
25.56,0.96,33.14,23.77
25.66,0.98,31.27,23.86
25.65,0.9,30.05,23.68
25.63,0.86,29.29,23.86
25.59,0.82,30.66,23.8
25.57,0.73,29.39,23.89
25.53,0.66,28.55,23.79
25.54,0.65,27.95,23.86
25.57,0.66,27.64,23.82
25.58,0.64,27.51,23.83
25.54,0.6,27.74,23.86
25.54,0.67,30.09,23.85
25.56,0.71,30.61,23.7
25.54,0.72,31.17,23.82
25.59,0.75,30.93,23.83
25.61,0.75,29.76,23.86
25.66,0.8,30.98,23.89
25.75,1.01,30.37,23.93
25.76,1.03,30.15,23.84
25.76,1.01,30.28,23.9
25.77,1.04,29.75,23.9
25.81,1.09,29.79,23.92
25.72,1.02,29.22,23.79
25.69,0.97,28.89,23.89
25.66,0.95,29.0,23.78
25.64,0.94,28.9,23.78
25.62,0.97,28.9,23.85
25.61,0.94,28.74,23.84
25.6,0.93,28.91,23.8
25.55,0.88,28.62,23.79
25.51,0.82,28.21,23.79
25.45,0.75,28.08,23.74
25.51,0.78,28.11,23.77
25.5,0.76,28.2,23.77
25.47,0.72,27.65,23.72
25.46,0.67,27.45,23.86
25.42,0.62,27.29,23.86
25.38,0.65,27.67,23.76
25.38,0.65,27.62,23.73
25.35,0.6,27.25,23.77
25.32,0.57,27.22,23.81
25.33,0.53,27.04,23.82
25.32,0.49,26.86,23.85
25.32,0.5,27.43,23.87
25.33,0.48,26.96,23.92
25.33,0.44,26.68,23.91
25.34,0.43,26.68,23.89
25.34,0.43,26.79,23.84
25.34,0.43,26.78,23.89
25.36,0.43,29.48,23.93
25.42,0.58,34.12,23.91
25.45,0.59,31.4,23.89
25.47,0.6,30.02,23.93
25.41,0.58,28.45,23.82
25.39,0.55,28.08,23.9
25.39,0.57,28.79,23.84
25.39,0.56,27.35,23.66
25.42,0.68,29.91,23.89
25.48,0.75,28.69,23.84
25.49,0.73,28.12,23.95
25.53,0.79,28.42,23.89
25.56,0.81,28.15,23.92
25.54,0.81,28.47,23.93
25.56,0.88,30.19,23.85
25.59,0.99,37.14,23.89
25.59,1.04,36.89,23.84
25.61,1.14,44.45,23.82
25.67,1.44,46.52,23.86
25.7,1.57,45.02,23.85
25.79,1.76,44.83,23.89
25.81,1.75,42.83,23.86
25.78,1.68,40.7,22.89
25.74,1.57,40.27,23.86
25.64,1.44,38.92,23.04
25.59,1.36,36.26,23.82
25.61,1.33,34.19,23.78
25.59,1.23,32.95,23.7
25.61,1.14,31.8,23.89
25.6,1.15,31.97,23.82
25.62,1.12,31.71,23.95
25.6,1.12,31.78,23.89
25.62,1.12,31.59,23.87
25.63,1.09,31.21,23.92
25.61,1.09,31.58,23.86
25.63,1.15,31.23,23.3
25.62,1.18,31.18,23.79
25.67,1.29,32.59,23.82
25.69,1.32,32.34,23.78
25.69,1.29,31.86,23.82
25.66,1.2,30.87,23.83
25.67,1.18,31.11,23.83
25.63,1.11,30.58,23.86
25.66,1.06,30.05,23.84
25.64,0.97,29.41,23.73
25.63,0.91,29.16,23.46
25.58,0.88,29.11,23.91
25.55,0.86,28.65,23.88
25.44,0.8,28.21,23.84
25.43,0.78,28.14,23.86
25.43,0.77,33.83,23.81
25.45,0.77,31.08,23.87
25.52,0.78,31.23,23.81
25.59,0.77,29.6,23.86
25.55,0.7,28.73,23.83
25.51,0.62,31.9,23.81
25.53,0.67,30.91,23.93
25.54,0.64,29.79,23.95
25.51,0.58,29.13,23.81
25.54,0.66,34.58,23.88
25.62,0.88,40.0,23.87
25.71,1.11,40.56,23.88
25.78,1.27,40.37,23.89
25.87,1.33,38.01,23.76
25.85,1.23,37.33,23.98
25.8,1.16,35.65,23.95
25.78,1.14,34.97,23.95
25.82,1.33,37.15,23.98
25.85,1.35,37.21,23.89
25.93,1.49,40.84,23.93
25.99,1.59,40.48,23.87
26.14,1.72,41.35,23.94
26.21,1.69,38.89,24.02
26.31,1.75,41.82,24.07
26.34,1.76,40.52,24.05
26.35,1.74,38.23,24.05
26.35,1.73,37.84,24.03
26.34,1.63,34.94,24.05
26.29,1.48,33.3,23.95
26.24,1.4,39.47,24.04
26.29,1.49,39.42,24.04
26.34,1.56,40.81,23.98
26.4,1.6,38.48,23.92
26.38,1.66,38.72,23.92
26.37,1.7,38.77,23.93
26.35,1.72,39.07,23.9
26.31,1.73,42.49,23.88
26.3,1.83,42.32,23.81
26.34,2.04,45.01,23.83
26.39,2.12,43.87,23.85
26.36,2.06,39.99,23.79
26.33,1.97,40.03,23.89
26.27,1.82,40.11,23.9
26.24,1.77,39.79,23.89
26.21,1.71,37.25,23.8
26.18,1.64,34.83,23.88
26.09,1.46,33.11,23.86
25.99,1.31,31.82,23.9
25.91,1.16,30.98,23.84
25.84,1.04,30.18,23.88
25.73,0.94,29.45,23.8
25.68,0.87,29.5,23.88
25.63,0.82,28.91,23.86
25.6,0.74,29.53,23.83
25.47,0.56,27.7,23.83
25.37,0.41,26.72,23.79
